epoch,method,lr,seconds,loss_det,loss_odam,loss_total_objective,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,MR-2_generic
0,baseline,0.005,532.1404232978821,0.350486052369205,0.0,0.350486052369205,0.0012318398977240576,0.00609793420853617,2.8288543140028288e-05,0.0,0.00042215116697815543,0.001440599096311473,0.0009185936015204307,0.008394044979410833,0.016534684827367755,0.9979230597118578
1,baseline,0.005,529.996034860611,0.2548005604166362,0.0,0.2548005604166362,0.0018833066408050162,0.006627419498706627,0.00054005400540054,0.0,0.003921175405950298,0.004039073520044177,0.0037694013303769406,0.01327209375989864,0.014095660437123852,0.9949176911650613
2,baseline,0.005,536.3386290073395,0.25117568502736604,0.0,0.25117568502736604,0.013599081633712169,0.04944161852202709,0.0030605526982005332,6.046758522006047e-05,0.011156226744071768,0.02698651530054079,0.008299018055115615,0.04738675958188153,0.10098194488438392,0.9866624002976181
3,baseline,0.005,535.6606647968292,0.24866082523805297,0.0,0.24866082523805297,0.01833631452838674,0.06457850595278485,0.004348824448477193,0.0002971940229357695,0.01965452363821121,0.03362296716755924,0.00909090909090909,0.05844155844155844,0.13018688628444725,0.983728887620321
4,baseline,0.005,535.9382276535034,0.24851837554698356,0.0,0.24851837554698356,0.03131680050315327,0.09809705590346234,0.010698285759620965,0.0006033025609604482,0.030164854192940394,0.058609238687212004,0.014602470700031678,0.07171365220145706,0.15983528666455496,0.9764508649000909
5,baseline,0.005,530.1097571849823,0.2457495424019055,0.0,0.2457495424019055,0.03848761378485973,0.10647109095015891,0.017488417975671765,0.002143927701273568,0.030406636409644475,0.08315306407866187,0.018625277161862526,0.07903072537218879,0.11643965790307254,0.9664729903342231
6,baseline,0.005,535.0639917850494,0.24387614622531636,0.0,0.24387614622531636,0.04674303312207998,0.13548997369440471,0.023521374721946563,0.0018898260348426178,0.042657756186727035,0.097832402253996,0.020430788723471652,0.09122584732340829,0.16914792524548622,0.9649031929144752
7,baseline,0.005,533.4052188396454,0.2389666401852589,0.0,0.2389666401852589,0.058813074260347285,0.1525568853650093,0.0314989057282125,0.006427750982143928,0.04810375558777233,0.1202225547684127,0.024802027241051634,0.10402280646183085,0.18542920494140008,0.9608689807049233
8,baseline,0.005,532.6243224143982,0.23711114443968956,0.0,0.23711114443968956,0.05675787510667973,0.16290706685197637,0.023064370491547255,0.0059262487921724035,0.04942976384667969,0.11680767230975157,0.024041811846689895,0.10503642698764648,0.17272727272727273,0.9596246298092497
9,baseline,0.005,537.854166507721,0.23228583948167786,0.0,0.23228583948167786,0.07367963106085208,0.19625083462206538,0.03991508892621006,0.007284329993739764,0.07001137985701605,0.13336658761372808,0.02793791574279379,0.12049414000633511,0.22622743110547988,0.9563312316905563
10,baseline,0.005,535.756100654602,0.22802462516049196,0.0,0.22802462516049196,0.08784731079991598,0.22596829054167913,0.04846600375686495,0.0075509007521969785,0.0799160707479517,0.16511705197251927,0.02933164396579031,0.13382958504909723,0.22787456445993032,0.9477871249791125
11,baseline,0.005,531.7780570983887,0.22589040487443132,0.0,0.22589040487443132,0.09351058493217754,0.23625566055556585,0.05767367824074042,0.010684290867813067,0.08402257270202722,0.1814252231705405,0.031105479885967697,0.1401330376940133,0.22530883750395944,0.9428826954715831
12,baseline,0.005,533.1878230571747,0.22336308387375134,0.0,0.22336308387375134,0.08987024812435018,0.23155617412770552,0.05245839770676766,0.008515705288067004,0.0822733416701144,0.18205847067721168,0.03113715552739943,0.13693379790940766,0.23018688628444725,0.9454938880260308
13,baseline,0.005,532.6098816394806,0.21769270377827765,0.0,0.21769270377827765,0.10620904901142796,0.26242790848777964,0.06501725252143717,0.008445758488487732,0.09471150347003968,0.20286928076212268,0.034336395312005066,0.1491289198606272,0.2433639531200507,0.9348212924024301
14,baseline,0.005,534.1904969215393,0.21318126204116508,0.0,0.21318126204116508,0.10845034121900163,0.26505813252548277,0.07134128078205836,0.011326679844809473,0.09821025626712153,0.20740559869387587,0.033101045296167246,0.15118783655369022,0.2543870763382959,0.9397650310131279
15,baseline,0.005,533.944543838501,0.2099009934852895,0.0,0.2099009934852895,0.1013999239318848,0.24886554861389903,0.06189488521724465,0.011439229336100896,0.08859346684840193,0.20090966431331456,0.03462147608489072,0.1466265441875198,0.24054482103262592,0.935777287672009
16,baseline,0.005,533.4293670654297,0.205918805255062,0.0,0.205918805255062,0.10276834740220159,0.24730179966555815,0.07009486037231226,0.008537924156599703,0.09740525796207464,0.20118385815853776,0.033797909407665506,0.148907190370605,0.2270509977827051,0.940392007299137
17,baseline,0.005,534.2527520656586,0.2000895175897337,0.0,0.2000895175897337,0.11812379608529203,0.2916116636092495,0.07098394203498408,0.012840989007528805,0.10997078479498627,0.22308595994740057,0.03576179917643332,0.16037377256889454,0.26430155210643014,0.9260396597782417
18,baseline,0.005,538.4155511856079,0.19640346261776712,0.0,0.19640346261776712,0.1076249213951651,0.2589410670005991,0.0692218542484569,0.013788662598073837,0.09902203682255378,0.21538700070466738,0.034463097877732024,0.15128286347798545,0.2633829585049098,0.9366406080964124
19,baseline,0.0005,534.6088428497314,0.19380419964063536,0.0,0.19380419964063536,0.12340656106911578,0.2886827691925525,0.08809967826490657,0.01321041600777514,0.11206995847976224,0.24343129365155688,0.03797909407665505,0.1618308520747545,0.25039594551789673,0.9225950203592261
20,baseline,0.0005,532.6235239505768,0.16691450916812284,0.0,0.16691450916812284,0.1338137568481878,0.30699415190035967,0.09170301812124941,0.015023725759277856,0.11964614163388744,0.25840871077146443,0.04136838770985112,0.171967057332911,0.25365853658536586,0.918770912518356
21,baseline,0.0005,532.7629015445709,0.1609274046081914,0.0,0.1609274046081914,0.13447896180179816,0.30703077166420656,0.0959008546572161,0.014347549300510682,0.12286769791711895,0.2580348638594185,0.0408615774469433,0.17446943300601836,0.2493823249920811,0.9191463559611192
22,baseline,0.0005,530.8156428337097,0.15568272143722703,0.0,0.15568272143722703,0.12761915708463192,0.2956748980879831,0.08684461609138029,0.015504060054998447,0.11417145350950728,0.2480837715271527,0.03886601203674374,0.1720620842572062,0.24238200823566677,0.9225740178110782
23,baseline,0.0005,532.780690908432,0.15161867689060532,0.0,0.15161867689060532,0.12361205724754622,0.28784277263314434,0.08756081897723021,0.013796734005410186,0.11069612704220096,0.24365333853014648,0.03854925562242635,0.16468165980361102,0.2347798542920494,0.921948735774939
24,baseline,0.0005,533.2410516738892,0.14837644250078244,0.0,0.14837644250078244,0.1253849844239169,0.2875288149450725,0.08956029900696338,0.014227560704354504,0.11110606973309001,0.24430147874109234,0.039151092809629404,0.16680392777953754,0.23892936331960724,0.9233026049494437
25,baseline,0.0005,532.5090188980103,0.14496046286088843,0.0,0.14496046286088843,0.12262324793882118,0.2840706243414371,0.08869694392419011,0.012912665047432229,0.11137488639356209,0.23800581191206036,0.038834336395312,0.16341463414634147,0.22920494140006334,0.9222022913142442
26,baseline,5e-05,533.3504846096039,0.1413609660048825,0.0,0.1413609660048825,0.11848311029732604,0.2727079058737046,0.08419382642234223,0.015040919977499059,0.1034079631923388,0.23685347234919604,0.03937282229965157,0.16119733924611976,0.2239467849223947,0.9263169431593095
27,baseline,5e-05,532.6809995174408,0.1356710362916218,0.0,0.1356710362916218,0.12049733550713215,0.27830875378281,0.0882575627557905,0.015468499618324244,0.10769830935234474,0.23799460097499048,0.039341146658219826,0.1629711751662971,0.22499208108964205,0.9240835106003275
28,baseline,5e-05,531.8591122627258,0.1347737314178286,0.0,0.1347737314178286,0.11918378234453558,0.2775742923517531,0.08578685808170673,0.015321792944342825,0.10552805810715649,0.23791428454667654,0.038770985112448524,0.16217928413050367,0.22423186569528034,0.9237152477850353
29,baseline,5e-05,533.5232424736023,0.134662929615244,0.0,0.134662929615244,0.12014206058386358,0.27868172423194676,0.08759147561762542,0.015092747896490349,0.10603241163642181,0.23849055553928666,0.038517579980994615,0.1620525815647767,0.2235350015837821,0.9238344090199535
