epoch,method,lr,seconds,loss_det,loss_odam,loss_total_objective,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,MR-2_generic
10,odam,0.005,575.5161933898926,0.2561780668915441,0.7210599087516271,0.4003900510846847,0.012672659964250014,0.0465404993296207,0.003494386762537058,2.1787664699973834e-05,0.0181521519897658,0.02084726231184121,0.008584098828001268,0.043110547988596766,0.09873297434273044,0.9873577904375801
11,odam,0.005,574.5249843597412,0.2577776764124672,0.6783431943731851,0.3934463180832234,0.01254360531324826,0.044832694579508094,0.004412721791627397,7.335396166540992e-05,0.009996519112676336,0.02966445965379689,0.010072853975292999,0.04095660437123852,0.10053848590433956,0.9878136673247973
12,odam,0.005,576.9511287212372,0.25467693966639154,0.7232647250874323,0.3993298864972303,0.018776103753315503,0.0629987668777671,0.006183551102884686,0.00030939374911295275,0.024481268440783778,0.027353557406070338,0.01073804244535952,0.05261324041811847,0.12758948368704465,0.9834637870546656
13,odam,0.005,570.1512718200684,0.25854034562912315,0.7107645319761282,0.40069325458794874,0.02246398163096311,0.07378632418716703,0.005963126516230183,9.921154705404309e-05,0.022124825055777078,0.040659634962670575,0.012955337345581247,0.05974025974025974,0.10753880266075388,0.9787610982975811
14,odam,0.005,577.6439709663391,0.25811836051768444,0.7138973198360827,0.4008978271047167,0.021847397279640086,0.07051221710227204,0.00709725651270835,0.00012500602018727217,0.027921553526557664,0.03483861113487946,0.011751662971175168,0.05831485587583148,0.14738675958188152,0.9816349956208923
15,odam,0.005,579.3514566421509,0.25832322948834135,0.7579087692585945,0.40990498668011555,0.03064136031038866,0.08854343755450088,0.014551362898197423,0.0005624371921262969,0.022876488257129166,0.060646455300472184,0.014190687361419069,0.06179917643332278,0.14982578397212543,0.9761034123523707
16,odam,0.005,576.1827285289764,0.25375063435586914,0.8072660327261266,0.4152038436117275,0.0302956316683542,0.09663856625156926,0.010425580124105351,0.0008822490570165838,0.03308092152920496,0.05009140170320159,0.013873930947101681,0.07066835603420969,0.15251821349382325,0.9759293464671593
17,odam,0.005,579.8747961521149,0.25216998381998945,0.7719883709552671,0.40656766206687905,0.0359604512449084,0.11307218068509213,0.014760903540666743,0.002640377272845923,0.03188785807043633,0.07088359757176849,0.01783338612606905,0.07735191637630663,0.1729490022172949,0.974660008461003
18,odam,0.005,574.5164630413055,0.2515045371944458,0.7975309909505215,0.4110107374744813,0.0320457831381591,0.09290432330062115,0.015991716157608252,0.0009523737974848051,0.042149280309414276,0.06485918799134072,0.015552739942983845,0.07526132404181185,0.154006968641115,0.9761138857615088
19,odam,0.0005,574.2551867961884,0.25370580700011786,0.7626418691838177,0.4062341832196087,0.03727366054488223,0.11317339096636311,0.017515701869264915,0.003071730651407363,0.031506137779721985,0.07478792994126958,0.01577446943300602,0.0778270509977827,0.15983528666455493,0.9732763560255291
20,odam,0.0005,574.476842880249,0.2411257483736984,0.7788348954089682,0.3968927315154275,0.05106270485856629,0.15375013772553062,0.02124092824752182,0.002280654322213978,0.04791586118762058,0.09769739014154816,0.02103262591067469,0.09071903706050047,0.17326575863161228,0.963180192292678
21,odam,0.0005,567.0712611675262,0.24466778057179894,0.7949811173112423,0.4036640078631577,0.05492174472060258,0.16269467850144226,0.022001947629849344,0.002304505282399591,0.0505041136683483,0.10778436780243357,0.02324992081089642,0.0939182768451061,0.17288565093443142,0.9607086899276185
22,odam,0.0005,573.5951478481293,0.24433955800384885,0.7417414451723264,0.39268784984585253,0.052753063189322394,0.15634622154641672,0.021002550847639575,0.0030071319242544556,0.046966683475864475,0.10556398261452256,0.02112765283496991,0.09277795375356351,0.16769084573962623,0.9620598302133063
23,odam,0.0005,574.0146136283875,0.24208534294601486,0.7379167945583819,0.3896687046711209,0.056332349536696136,0.1628379295854393,0.02695173529359688,0.003843611979773682,0.0502729450721311,0.10897438157162836,0.022838137472283814,0.09775102945834653,0.17836553690212226,0.9604423602936769
24,odam,0.0005,569.4459388256073,0.24193443804929185,0.7739129779863521,0.3967170362733054,0.05661570492717285,0.16263078929864636,0.02718780527659586,0.0030475184160441574,0.04932751010656722,0.11087088522855706,0.022109597719353818,0.0966740576496674,0.17728856509344315,0.961336724470571
25,odam,0.0005,574.2100372314453,0.2409355374075683,0.8120449799864847,0.4033445353854152,0.059054545466157585,0.1701253026300378,0.026475441421713278,0.005892640764380568,0.052314382456465025,0.10983928952411384,0.022648083623693378,0.0983845422869813,0.18470066518847006,0.9601583164185714
26,odam,5e-05,571.341849565506,0.2397452087904932,0.7904351436878999,0.3978322402625514,0.060164011889523146,0.16984622264289134,0.0295993611375305,0.005241842138487908,0.053245196784185135,0.11625423345201563,0.02448527082673424,0.09974659486854608,0.17804878048780487,0.9582239017206197
27,odam,5e-05,572.6235983371735,0.2378171684488674,0.7765151717587047,0.3931202056916734,0.06162131754998722,0.1752310663898271,0.028429037514665353,0.0044925329371991625,0.053520246844057734,0.11901257931149685,0.024516946468165983,0.10101362052581564,0.18308520747545137,0.9569551302325913
28,odam,5e-05,572.3464086055756,0.2382545413933243,0.8210038945274184,0.4024553241341063,0.06268812050675666,0.17636375402355256,0.030005825640361916,0.004753598652200448,0.05515003799542694,0.11990018529696773,0.023408299018055117,0.10139372822299653,0.1889452011403231,0.9571112345902257
29,odam,5e-05,572.366546869278,0.23967201802704088,0.7890487820513807,0.397481777159996,0.062466922547892906,0.1767996089560728,0.029849039525207118,0.0047009588261765645,0.055158300772365075,0.11993574821981662,0.023186569528032944,0.10167880899588215,0.1871080139372822,0.9570451332427183
