epoch,method,lr,seconds,loss_det,loss_odam,loss_total_objective,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,MR-2_generic
0,dpga,0.005,736.3653223514557,0.34096736768774516,1.048918295136834,1.3898856616622868,0.00011396241664982826,0.0003217821782178218,0.00013201320132013203,0.0,0.0002727442555576312,0.00010948942800684009,0.0006651884700665188,0.0013303769401330375,0.0013937282229965157,0.9991190842203265
1,dpga,0.005,730.3708398342133,0.2537384117887046,1.0301004992560057,1.2838389094878855,0.001975833634262896,0.01050943083135129,0.00032462262619704593,0.0,0.0,0.002966501570920804,0.0018371872030408618,0.003959455178967374,0.00408615774469433,0.9962654598213299
2,dpga,0.005,735.0412003993988,0.2500401791260348,0.9768049788782701,1.2268451611244422,0.01041311834324139,0.037011638778918166,0.0011062616155475718,0.0,0.008431402796928184,0.019431890438808306,0.005955020589166931,0.03744060817231549,0.07028824833702882,0.9860937533525839
3,dpga,0.005,736.4846992492676,0.24907705157213064,0.9783186583839752,1.227395709929925,0.016078437606223964,0.05347389133423906,0.00438028505357763,0.00011469791939530975,0.015953244046582774,0.033032275585985454,0.010769718086791258,0.05473550839404497,0.11244852708267342,0.9841288428296244
4,dpga,0.005,741.6659755706787,0.2481741534839328,1.0448698937633467,1.29304404625441,0.029231966814649197,0.09304407330581897,0.009032817489316112,0.0003581397791340725,0.0290937129603265,0.05522059157586821,0.014570795058599933,0.06943300601837187,0.15812480202724105,0.9779609237363206
5,dpga,0.005,738.7442715167999,0.2484789644248914,1.0165534120997342,1.2650323751160666,0.029693266427415373,0.08015424726013208,0.015853477913815958,0.0007623220311636268,0.025446965537704612,0.053896703357848755,0.014760848907190371,0.06857776369971491,0.10741210009502693,0.9745340422850419
6,dpga,0.005,740.460305929184,0.24256695440467724,1.0497140340523345,1.292280986268339,0.05019119635910329,0.14504788083385342,0.024314982134296427,0.0022433283061418937,0.044758630857932316,0.10385184468213453,0.020209059233449476,0.0929363319607222,0.17383592017738358,0.9618493119452328
7,dpga,0.005,740.1425189971924,0.23815426361793465,1.0107620533137727,1.248916315639324,0.06105838100524468,0.16650477022719543,0.028723862168526813,0.0026806406549967333,0.04972171039521389,0.13156465281175705,0.025752296484003807,0.10402280646183086,0.18127969591384224,0.9567090927035853
8,dpga,0.005,738.3184349536896,0.23696246472454327,1.0363826247111825,1.2733450861519873,0.05900627125230406,0.16490809166998383,0.024739074417916167,0.00503302971246992,0.05199039682253818,0.11963586820382589,0.02486537852391511,0.1044029141590117,0.16826100728539753,0.955459019041691
9,dpga,0.005,741.0255827903748,0.2327891530000265,1.0106290282449077,1.243418181297516,0.07521425099245939,0.20405369862586448,0.03713085465890312,0.006552520561696944,0.06434082067798667,0.15067760685521125,0.02622743110547988,0.11862527716186251,0.21748495407031995,0.9531869953111158
10,dpga,0.005,741.1319172382355,0.2298471417659104,1.0241361535599263,1.2539832911342583,0.09138178897574638,0.22982248560685328,0.05451161988258689,0.008863579718565178,0.08924560598701425,0.1677430204285283,0.03139056065885334,0.13446309787773203,0.23474817865061767,0.9446655935176933
11,dpga,0.005,739.4195697307587,0.22466910060389847,0.9666001307730223,1.1912692318473659,0.09339590394020479,0.23201054411842542,0.05887162818115791,0.009747774164500657,0.08358239743045992,0.18644373095664243,0.03170731707317073,0.13978460563826417,0.21210009502692428,0.9388365650670966
12,dpga,0.005,741.1964981555939,0.2223582776767248,0.9577894836189764,1.1801477613210838,0.09576366650700027,0.24517723207992712,0.05231524779487937,0.011305790605000011,0.08493004332611732,0.19303050285774812,0.0326575863161229,0.14098828001267028,0.24070319923978462,0.9412440572642169
13,dpga,0.005,739.8403718471527,0.21781163973781414,0.9986872606818851,1.2164988991770578,0.10902869729010042,0.2649576189622815,0.0699434910770042,0.014252423600308328,0.0941409109958801,0.21474211584650318,0.03395628761482421,0.1547671840354767,0.25083940449794107,0.9352992573100178
14,dpga,0.005,739.0126307010651,0.2121819687924507,1.0151907891936114,1.2273727556161613,0.10379045268454035,0.26168283904133494,0.06112632508989686,0.013839981089767715,0.09272881795695846,0.20296930959830325,0.03370288248337029,0.1424136838770985,0.23031358885017422,0.9366907807997623
15,dpga,0.005,740.9543516635895,0.21133984814863024,0.9955649562781704,1.2069048040607897,0.11580797219929738,0.27422355689923883,0.07606802690082587,0.013097878077865216,0.10375256861245642,0.22482356359345113,0.036236933797909404,0.1549255622426354,0.2635096610706367,0.927120784111726
16,dpga,0.005,738.3075077533722,0.20391321973812493,0.9550686227688034,1.1589818412756414,0.10986355903059823,0.2653611562761861,0.0718004827958529,0.008018628643616847,0.09645999387123873,0.22335436919480287,0.03683877098511245,0.1544504276211593,0.22188786822933165,0.9338256341649325
17,dpga,0.005,741.2004897594452,0.20040537961689733,0.9108614117686773,1.111266791925817,0.1205358584877905,0.29316730806361263,0.06872133143422787,0.013638616114249902,0.1124825302296521,0.2282669596765502,0.034653151726322454,0.16094393411466582,0.27465948685460884,0.9262223929862845
18,dpga,0.005,740.5177199840546,0.1947200020303897,0.9771146897168913,1.1718346907783546,0.10541145046396198,0.2551668641648903,0.06652332382485049,0.014116547417552812,0.09051681181848548,0.21870363008190677,0.03424136838770985,0.1506810262907824,0.2579664238200824,0.9327070069990108
19,dpga,0.0005,741.3101074695587,0.19062322415511748,0.9181154864222889,1.1087387104294342,0.12438764560282121,0.28652690266991543,0.08786526546621172,0.015471931087125494,0.10315155238067347,0.2550436978082838,0.03886601203674374,0.16103896103896104,0.26062717770034843,0.9184632697170403
20,dpga,0.0005,738.3266279697418,0.1645977978317586,0.9258141389134193,1.0904119362199771,0.13260128814089203,0.30562671019232196,0.08955342925440209,0.017962143369130764,0.11438648813521056,0.2629575676592584,0.03902439024390243,0.1719037060500475,0.2523281596452328,0.916856561712328
21,dpga,0.0005,738.1029062271118,0.15776144992936186,0.9420408866622687,1.0998023360275724,0.13722755886740445,0.3107850622254711,0.09790096078407116,0.01734278755503255,0.11935059849462007,0.2741892644538381,0.03873930947101679,0.17304402914159012,0.25289832119100414,0.9157858516884653
22,dpga,0.0005,737.5563290119171,0.15278066492803685,0.9179522057949449,1.0707328667072016,0.13164504736414534,0.2978895706967898,0.09246062867331747,0.015914901700694047,0.1113762069226744,0.26796659715683263,0.037915742793791576,0.1696230598669623,0.24371238517579985,0.916836234709804
23,dpga,0.0005,736.9048612117767,0.14833335529305894,0.9076820170684826,1.0560153698420822,0.12836722527898572,0.2971387900071339,0.08896393128925335,0.015843240049515678,0.10905265841290852,0.2632418788323328,0.037884067152359834,0.16503009185936016,0.2353500158378207,0.9147905518419553
24,dpga,0.0005,736.9453418254852,0.14532434455498872,0.929373284195165,1.0746976284819127,0.1262711694972827,0.29310366879603705,0.08809958548849903,0.015077000864063836,0.10739538260644561,0.25624411485304543,0.03706050047513462,0.16271777003484322,0.2372188786822933,0.9161858727230769
25,dpga,0.0005,736.7739069461823,0.1414595591549888,0.9304312592369791,1.0718908140249048,0.12244305842478058,0.2867796847042411,0.08373853309479443,0.015216871467415431,0.10446815896943444,0.2522861048740526,0.03680709534368071,0.1592968007602154,0.22489705416534686,0.9160413191603425
26,dpga,5e-05,737.2042102813721,0.1385769000876078,0.91451152056596,1.0530884194113865,0.11937525176859382,0.2769600426494067,0.0825571458850854,0.014006810043471379,0.1009583414436504,0.2517126867466211,0.03528666455495724,0.1578397212543554,0.2273677541970225,0.9195913170091365
27,dpga,5e-05,736.7939548492432,0.13317577595776134,0.9018545450367991,1.0350303214092265,0.12253784261620787,0.2816741159112591,0.08694772391930877,0.012954299394878417,0.10484969629548188,0.2540688343518388,0.036426987646499834,0.15901171998732974,0.22546721571111816,0.9172668006039901
28,dpga,5e-05,735.8441553115845,0.13201908358469264,0.9676537633563917,1.0996728458743878,0.12384962369939738,0.2853540188695625,0.08866576988109322,0.013232685124366693,0.10380412052429698,0.2573368674127665,0.037028824833702886,0.16027874564459932,0.2276211593284764,0.9161926005326508
29,dpga,5e-05,735.9968378543854,0.131848677784746,0.9422957794837107,1.0741444556775828,0.12258127220465413,0.28444097956930237,0.08704409294554903,0.013456643149834082,0.10218289829846951,0.2544162151121905,0.03677541970224897,0.15932847640164716,0.22356667722521378,0.9157555673600843
