epoch,step,rank,method,module,loss_det,loss_odam,cosine_raw,det_norm,odam_norm_raw,odam_norm_safe,aux_to_det_raw,aux_to_det_effective,directional_margin,final_cosine_to_det,final_angle_deg,conflict_raw,dominance_raw,dominance_effective,unsafe_descent,projected,cap_active,norm_scale,gate,alpha,effective_weight
0,0,1,dpga,backbone,7.687814235687256,1.0145277976989746,0.03227723389863968,331.822265625,172.34329223632812,33.182228088378906,0.5193843514741632,0.0,1.0,1.0,0.0,0,0,0,0,0,1,0.1925356537103653,0.5402591824531555,0.0,0.0
0,0,1,dpga,fpn,7.687814235687256,1.0145277976989746,0.06835884600877762,134.9144287109375,57.68452453613281,20.237165451049805,0.42756379052477383,0.0,1.0,1.0,0.0,0,0,0,0,0,1,0.35082486271858215,0.584626317024231,0.0,0.0
0,0,1,dpga,rpn,7.687814235687256,1.0145277976989746,0.0,460.99554443359375,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,1,dpga,roi_shared,7.687814235687256,1.0145277976989746,0.0274973101913929,187.25413513183594,185.80564880371094,46.813533782958984,0.9922645963086199,0.0,1.0,1.0,0.0,0,0,0,0,0,1,0.25194892287254333,0.5343175530433655,0.0,0.0
0,0,1,dpga,roi_cls,7.687814235687256,1.0145277976989746,0.0,287.0635681152344,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0.0
0,0,1,dpga,roi_reg,7.687814235687256,1.0145277976989746,-0.8503152132034302,21.334306716918945,1501.0423583984375,1.0667153596878052,70.35815029358568,0.0,1.0,1.0,0.0,1,1,0,0,1,1,0.0013503422960639,0.01404179260134697,0.0,0.0
0,100,1,dpga,backbone,0.16613943874835968,1.7186524868011475,-0.025234099477529526,2.4388771057128906,34.86880111694336,0.24388772249221802,14.297071810328513,0.0,1.0,1.0,0.0,1,1,0,0,1,1,0.006996667943894863,0.4684991240501404,0.0,0.0
0,100,1,dpga,fpn,0.16613943874835968,1.7186524868011475,-0.06488800793886185,0.5367588996887207,8.362985610961914,0.08051382750272751,15.580525289495542,0.0,1.0,1.0,0.0,1,1,0,0,1,1,0.009647735394537449,0.41959404945373535,0.0,0.0
0,100,1,dpga,rpn,0.16613943874835968,1.7186524868011475,0.0,1.4603286981582642,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,100,1,dpga,roi_shared,0.16613943874835968,1.7186524868011475,-0.05584653466939926,0.5572021007537842,9.32517147064209,0.13930052518844604,16.735707668774,0.0,1.0,1.0,0.0,1,1,0,0,1,1,0.014961468987166882,0.43064188957214355,0.0,0.0
